Data point,Count,Police Shooting rate,Population,"Total Crime per 10,0000","Violent Crime per 10,0000","Property Crime per 10,0000",Murder,Rape*,Robbery,assault,Burglary,Theft,Car Theft,Land area,Gun rate,Joined year
AK 2015,4.0000,5.4222,737709.0000,3551.2000,730.8000,2820.4000,8.0000,87.8000,103.2000,497.6000,475.9000,2067.1000,277.3000,570641.0000,0.6170,1959
AK 2016,6.0000,8.0915,741522.0000,4159.3000,804.6000,3354.7000,7.0000,142.0000,114.6000,540.9000,546.6000,2395.9000,412.3000,570641.0000,0.6170,1959
AK 2017,7.0000,9.4622,739786.0000,4398.7000,856.7000,3542.0000,8.4000,145.2000,128.7000,574.5000,563.3000,2403.7000,575.0000,570641.0000,0.6170,1959
AK 2018,7.0000,9.5220,735139.0000,4203.3000,891.7000,3311.6000,6.4000,164.9000,121.9000,598.5000,542.1000,2226.0000,543.6000,570641.0000,0.6170,1959
AK 2019,6.0000,8.2018,731545.0000,3777.9000,867.1000,2910.8000,9.4000,148.7000,112.9000,596.0000,487.1000,2066.0000,357.7000,570641.0000,0.6170,1959
AL 2015,17.0000,3.5024,4853875.0000,3455.9000,473.0000,2982.9000,7.2000,29.9000,95.0000,328.8000,726.5000,2043.4000,213.0000,50750.0000,0.4890,1819
AL 2016,23.0000,4.7320,4860545.0000,3480.0000,532.4000,2947.4000,8.4000,39.4000,96.4000,388.2000,700.4000,2005.9000,241.0000,50750.0000,0.4890,1819
AL 2017,21.0000,4.3076,4875120.0000,3471.5000,522.4000,2949.1000,8.6000,41.0000,86.8000,386.0000,641.4000,2045.2000,262.5000,50750.0000,0.4890,1819
AL 2018,12.0000,2.4552,4887681.0000,3360.9000,523.1000,2837.8000,7.8000,41.6000,82.8000,390.9000,595.4000,1970.8000,271.6000,50750.0000,0.4890,1819
AL 2019,11.0000,2.2434,4903185.0000,3185.2000,510.8000,2674.4000,7.3000,42.2000,80.4000,381.0000,531.9000,1886.1000,256.5000,50750.0000,0.4890,1819
AR 2015,4.0000,1.3432,2977853.0000,3800.0000,529.5000,3270.5000,6.3000,47.9000,71.1000,384.7000,767.4000,2307.7000,195.4000,52075.0000,0.5790,1836
AR 2016,12.0000,4.0158,2988231.0000,3836.9000,554.3000,3282.6000,7.3000,74.1000,71.1000,401.8000,796.9000,2245.2000,240.5000,52075.0000,0.5790,1836
AR 2017,10.0000,3.3300,3002997.0000,3710.2000,566.0000,3144.2000,8.3000,71.3000,66.5000,419.9000,744.9000,2157.7000,241.6000,52075.0000,0.5790,1836
AR 2018,20.0000,6.6451,3009733.0000,3524.6000,561.6000,2963.0000,7.4000,77.8000,52.9000,423.6000,648.6000,2071.6000,242.8000,52075.0000,0.5790,1836
AR 2019,17.0000,5.6332,3017804.0000,3442.6000,584.6000,2858.0000,8.0000,77.2000,51.6000,447.8000,599.6000,2012.6000,245.9000,52075.0000,0.5790,1836
